id,pub_title,doi,pmid,registration_date,start_date,completion_date,has_iv_trn_abstract,has_iv_trn_ft,has_reg_pub_link,reg_1y_after_start,reg_after_cd,reg_after_pub,has_crossreg_eudract,has_crossreg_isrctn
NCT00180089,"Randomised, double-blind, placebo-controlled trial of oral budesonide for prophylaxis of acute intestinal graft-versus-host disease after allogeneic stem cell transplantation (PROGAST)",10.1186/s12876-014-0197-7,25425214,2005-09-09,2004-01-01,2010-01-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00180102,High-dose cytarabine consolidation with or without additional amsacrine and mitoxantrone in acute myeloid leukemia: results of the prospective randomized AML2003 trial,10.1200/jco.2012.46.4743,23630210,2005-09-12,2003-12-01,2009-11-01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00185159,Determinants of urinary albumin excretion within the normal range in patients with type 2 diabetes: the Randomised Olmesartan and Diabetes Microalbuminuria Prevention (ROADMAP) study,10.1007/s00125-009-1577-3,19876613,2005-09-12,2004-10-01,2009-07-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00199082,Improved outcome of adult Burkitt lymphoma/leukemia with rituximab and chemotherapy: report of a large prospective multicenter trial,10.1182/blood-2014-03-563627,25359988,2005-09-12,2002-07-01,2010-06-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00202917,Haploidentical allogeneic hematopoietic cell transplantation in adults using CD3/CD19 depletion and reduced intensity conditioning: a phase II study,10.3324/haematol.2011.059378,22491731,2005-09-12,2004-02-01,2010-12-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00222222,Alterations of leptin in the course of inflammation and severe sepsis,10.1186/1471-2334-12-217,22973876,2005-09-13,2003-03-01,2011-12-01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00232830,Sirolimus-eluting versus uncoated stents in acute myocardial infarction,10.1056/nejmoa062006,16971716,2005-10-04,2003-10-01,2009-04-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00255112,Disorder-specific cognitive-behavioral therapy for separation anxiety disorder in young children: a randomized waiting-list-controlled trial,10.1159/000323444,21494062,2005-11-16,2004-06-01,NA,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE
NCT00256152,Subclinical atrial fibrillation and the risk of stroke,10.1056/nejmoa1105575,22236222,2005-09-10,2004-09-01,2010-06-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00263419,Sustained effects of a mindfulness-based stress-reduction intervention in type 2 diabetic patients: design and first results of a randomized controlled trial (the Heidelberger Diabetes and Stress-study),10.2337/dc11-1343,22338101,2005-12-07,2005-01-01,2012-06-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00282646,"Intraarterial administration of bone marrow mononuclear cells in patients with critical limb ischemia: a randomized-start, placebo-controlled pilot trial (PROVASA)",10.1161/circinterventions.110.958348,21205939,2006-01-25,2005-10-01,2011-03-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00284713,Micro-RNA-34a contributes to the impaired function of bone marrow-derived mononuclear cells from patients with cardiovascular disease,10.1016/j.jacc.2012.02.033,22651868,2006-01-31,2004-05-01,2009-01-01,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00303810,Treatment of children with central nervous system primitive neuroectodermal tumors/pinealoblastomas in the prospective multicentric trial HIT 2000 using hyperfractionated radiation therapy followed by maintenance chemotherapy,10.1016/j.ijrobp.2014.04.017,24969797,2006-03-15,2001-01-01,NA,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE
NCT00335543,Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer: results of the first prospective randomized phase II trial,10.1007/s00066-014-0737-7,25252602,2006-06-08,2003-06-01,2009-10-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
NCT00362089,Reduction of the n-6:n-3 long-chain PUFA ratio during pregnancy and lactation on offspring body composition: follow-up results from a randomized controlled trial up to 5 y of age,10.3945/ajcn.115.128520,27053380,2006-08-08,2006-06-01,2010-11-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00373451,Abciximab and heparin versus bivalirudin for non-ST-elevation myocardial infarction,10.1056/nejmoa1109596,22077909,2006-09-07,2006-07-01,2011-07-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00374985,"Prospective, open, multi-centre phase I/II trial to assess safety and efficacy of neoadjuvant radiochemotherapy with docetaxel and oxaliplatin in patients with adenocarcinoma of the oesophagogastric junction",10.1186/1471-2407-13-75,23394629,2006-09-11,2005-10-01,2013-09-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00392184,Accelerated partial breast irradiation with interstitial implants: risk factors associated with increased local recurrence,10.1016/j.ijrobp.2010.04.032,20675064,2006-10-24,2000-11-01,2010-10-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00395252,Multicenter phase II trial to investigate safety and efficacy of gemcitabine combined with cetuximab as adjuvant therapy in pancreatic cancer (ATIP),10.1093/annonc/mdt270,23897705,2006-11-01,2006-10-01,2012-01-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00402675,Optimal timing of invasive angiography in stable non-ST-elevation myocardial infarction: the Leipzig Immediate versus early and late PercutaneouS coronary Intervention triAl in NSTEMI (LIPSIA-NSTEMI Trial),10.1093/eurheartj/ehr418,22108830,2006-11-20,2006-07-01,2010-01-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00404092,Phase II dose escalation study of caspofungin for invasive Aspergillosis,10.1128/aac.05134-11,21911573,2006-11-24,2006-10-01,2009-10-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00419601,Remifentanil/midazolam versus fentanyl/midazolam for analgesia and sedation of mechanically ventilated neonates and young infants: a randomized controlled trial,10.1007/s00134-012-2532-1,22456770,2007-01-05,2006-11-01,2010-04-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
NCT00437385,Cognitive-behavioral therapy as continuation treatment to sustain response after electroconvulsive therapy in depression: a randomized controlled trial,10.1016/j.biopsych.2013.11.030,24462229,2007-02-20,2005-03-01,2011-03-01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00438451,"A randomized, double-blind comparison of antiepileptic drug treatment in the elderly with new-onset focal epilepsy",10.1111/epi.12926,25684224,2007-02-21,2007-01-01,2011-08-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
NCT00440167,Gemcitabine plus erlotinib followed by capecitabine versus capecitabine plus erlotinib followed by gemcitabine in advanced pancreatic cancer: final results of a randomised phase 3 trial of the 'Arbeitsgemeinschaft Internistische Onkologie' (AIO-PK0104),10.1136/gutjnl-2012-302759,22773551,2007-02-22,2006-06-01,2012-12-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00447304,"Acute cholecystitis: early versus delayed cholecystectomy, a multicenter randomized trial (ACDC study, NCT00447304)",10.1097/sla.0b013e3182a1599b,24022431,2007-03-13,2006-10-01,2010-12-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00456092,"Oral apremilast in the treatment of active psoriatic arthritis: results of a multicenter, randomized, double-blind, placebo-controlled study",10.1002/art.34627,22806399,2007-04-02,2007-03-05,2009-05-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00460629,"Prophylactic transfer of BCR-ABL-, PR1-, and WT1-reactive donor T cells after T cell-depleted allogeneic hematopoietic cell transplantation in patients with chronic myeloid leukemia",10.1182/blood-2010-09-308569,21540460,2007-04-12,2005-03-01,NA,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE
NCT00478933,Polymorphisms in the GNAS Gene as Predictors of Ventricular Tachyarrhythmias and Sudden Cardiac Death: Results From the DISCOVERY Trial and Oregon Sudden Unexpected Death Study,10.1161/jaha.116.003905,27895044,2007-05-23,2007-02-01,2012-12-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00480077,"Intrathoracic impedance monitoring, audible patient alerts, and outcome in patients with heart failure",10.1161/circulationaha.111.043042,21931078,2007-05-29,2007-03-01,2011-01-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00512135,Long-term results for incobotulinumtoxinA in the treatment of glabellar frown lines,10.1111/dsu.12008,23190342,2007-08-06,2007-06-18,2009-12-28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00515814,Spatial resolution and perception of patterns mediated by a subretinal 16-electrode array in patients blinded by hereditary retinal dystrophies,10.1167/iovs.10-6946,21693599,2007-08-13,2005-09-01,2009-12-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00521664,"Therapeutic platelet transfusion versus routine prophylactic transfusion in patients with haematological malignancies: an open-label, multicentre, randomised study",10.1016/s0140-6736(12)60689-8,22877506,2007-08-27,2004-09-01,2010-09-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00538356,Implant-based multiparameter telemonitoring of patients with heart failure (IN-TIME): a randomised controlled trial,10.1016/s0140-6736(14)61176-4,25131977,2007-10-01,2007-07-01,2013-08-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00538928,Lower tidal volume strategy (≈3 ml/kg) combined with extracorporeal CO2 removal versus 'conventional' protective ventilation (6 ml/kg) in severe ARDS: the prospective randomized Xtravent-study,10.1007/s00134-012-2787-6,23306584,2007-10-02,2007-09-01,2011-01-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00543049,"A phase II trial (AGO 2.11) in platinum-resistant ovarian cancer: a randomized multicenter trial with sunitinib (SU11248) to evaluate dosage, schedule, tolerability, toxicity and effectiveness of a multitargeted receptor tyrosine kinase inhibitor monotherapy",10.1093/annonc/mds003,22377563,2007-10-10,2007-09-01,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE
NCT00543686,Predicting short term response to anti-inflammatory therapy in young children with asthma,10.1185/03007990903485148,20001651,2007-10-11,2007-08-01,2009-02-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00559442,Exaggerated hypoxic pulmonary vasoconstriction without susceptibility to high altitude pulmonary edema,10.1089/ham.2014.1117,25803140,2007-11-15,2007-06-01,2011-07-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00567736,Efficacy of injections with Disci/Rhus toxicodendron compositum for chronic low back pain--a randomized placebo-controlled trial,10.1371/journal.pone.0026166,22087222,2007-12-04,2007-08-01,2009-01-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00568841,Prognostic impact of [18F]fluorothymidine and [18F]fluoro-D-glucose baseline uptakes in patients with lung cancer treated first-line with erlotinib,10.1371/journal.pone.0053081,23308140,2007-12-05,2007-10-01,2009-12-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00571168,"Aprepitant, granisetron, and dexamethasone for prevention of chemotherapy-induced nausea and vomiting after high-dose melphalan in autologous transplantation for multiple myeloma: results of a randomized, placebo-controlled phase III trial",10.1200/jco.2013.55.0095,25225424,2007-12-10,2005-07-01,2010-12-01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
NCT00579657,Effects of supplemented isoenergetic diets differing in cereal fiber and protein content on insulin sensitivity in overweight humans,10.3945/ajcn.110.004374,21633074,2007-12-21,2007-08-01,2013-07-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00583661,Prospective trial of a pediatric ventricular assist device,10.1056/nejmoa1014164,22873533,2007-12-20,2007-05-01,2011-12-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00598611,"Can on-demand non-sedating antihistamines improve urticaria symptoms? A double-blind, randomized, single-dose study",10.2340/00015555-1434,23053062,2008-01-10,2007-09-01,2009-08-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00598637,Zotarolimus- versus everolimus-eluting stents for unprotected left main coronary artery disease,10.1016/j.jacc.2013.07.044,23973699,2008-01-10,2007-12-01,2013-02-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00598676,Angiographic outcomes with biodegradable polymer and permanent polymer drug-eluting stents,10.1002/ccd.22823,21400652,2008-01-10,2007-09-01,2009-04-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00598715,Sirolimus-eluting versus paclitaxel-eluting stents in diabetic and non-diabetic patients within sirolimus-eluting stent restenosis: results from the ISAR-DESIRE 2 trial,10.1016/j.carrev.2014.02.001,24684757,2008-01-10,2007-10-01,2009-08-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00599547,"Allogeneic stem cell transplantation after reduced-intensity conditioning in patients with myelofibrosis: a prospective, multicenter study of the Chronic Leukemia Working Party of the European Group for Blood and Marrow Transplantation",10.1182/blood-2009-07-234880,19812383,2008-01-11,2002-11-01,2009-12-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00601510,"Phase I study of imatinib, cisplatin and 5-fluoruracil or capecitabine in advanced esophageal and gastric adenocarcinoma",10.1186/1471-2407-12-587,23228190,2008-01-25,2007-11-01,2012-01-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00605748,A prospective randomized study comparing isolation of the arrhythmogenic vein versus all veins in paroxysmal atrial fibrillation,10.1002/clc.22132,23670880,2008-01-18,2007-12-01,2009-12-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00611910,Drug-eluting versus bare-metal stents in saphenous vein graft lesions (ISAR-CABG): a randomised controlled superiority trial,10.1016/s0140-6736(11)61255-5,21872918,2008-01-10,2007-11-01,2011-03-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00615264,"Treatment of recent-onset type 1 diabetic patients with DiaPep277: results of a double-blind, placebo-controlled, randomized phase 3 trial",10.2337/dc13-1391,24757230,2008-02-04,2005-09-01,2012-01-01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
NCT00618280,Nicotinic acetylcholine receptor expression on B-lymphoblasts of healthy versus schizophrenic subjects stratified for smoking: [3H]-nicotine binding is decreased in schizophrenia and correlates with negative symptoms,10.1007/s00702-011-0743-1,22160487,2008-02-08,2008-01-01,2010-08-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00618384,"TACE plus sorafenib for the treatment of hepatocellular carcinoma: results of the multicenter, phase II SOCRATES trial",10.1007/s00280-014-2568-8,25173458,2008-02-08,2008-01-01,2011-08-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00626717,"Prospective, randomized, double-blind trial to investigate the efficacy and safety of corneal cross-linking to halt the progression of keratoconus",10.1186/s12886-015-0070-7,26194634,2008-02-20,2007-08-01,2012-12-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00634881,Alemtuzumab consolidation in chronic lymphocytic leukaemia: a phase I/II multicentre trial,10.1111/ejh.12825,27862308,2008-03-12,2003-11-01,2012-02-17,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00637169,Effects of targeting higher vs lower arterial oxygen saturations on death or disability in extremely preterm infants: a randomized clinical trial,10.1001/jama.2013.5555,23644995,2008-03-06,2006-12-01,2012-12-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
NCT00644826,Cost-utility analysis of a preventive home visit program for older adults in Germany,10.1186/s12913-015-0817-0,25884452,2008-03-26,2007-09-01,2010-03-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00646334,"A randomised, multi-centre, prospective, observer and patient blind study to evaluate a non-absorbable polypropylene mesh vs. a partly absorbable mesh in incisional hernia repair",10.1007/s00423-012-1009-6,23053458,2008-03-18,2006-06-01,2010-09-01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00647049,"High-dose chemotherapy with autologous haemopoietic stem cell transplantation for newly diagnosed primary CNS lymphoma: a prospective, single-arm, phase 2 trial",10.1016/s2352-3026(16)30050-3,27476790,2008-03-26,2007-01-01,2013-08-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00669227,Results of intracoronary stem cell therapy after acute myocardial infarction,10.1016/j.amjcard.2009.10.060,20211323,2008-04-28,2005-10-01,NA,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE
NCT00674700,Absence of IgE neosensitization in house dust mite allergic patients following sublingual immunotherapy,10.1111/j.1365-2222.2012.04044.x,22994348,2008-05-06,2007-10-01,2010-02-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00682305,"Allogeneic stem cell transplantation after conditioning with treosulfan, etoposide and cyclophosphamide for patients with ALL: a phase II-study on behalf of the German Cooperative Transplant Study Group and ALL Study Group (GMALL)",10.1038/bmt.2015.202,26367236,2008-05-16,2007-03-01,2013-08-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00690118,"A randomized, double blind, placebo-controlled trial of pioglitazone in combination with riluzole in amyotrophic lateral sclerosis",10.1371/journal.pone.0037885,22715372,2008-06-02,2008-05-01,2010-06-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00690300,DocOx (AIO-PK0106): a phase II trial of docetaxel and oxaliplatin as a second line systemic therapy in patients with advanced pancreatic ductal adenocarcinoma,10.1186/s12885-016-2052-4,26772812,2008-06-02,2008-01-01,2010-12-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00701662,A smooth transition protocol for patients with multifocal motor neuropathy going from intravenous to subcutaneous immunoglobulin therapy: an open-label proof-of-concept study,10.1111/j.1529-8027.2011.00330.x,21692906,2008-06-18,2007-11-01,2009-01-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
NCT00715806,Reduction of claustrophobia with short-bore versus open magnetic resonance imaging: a randomized controlled trial,10.1371/journal.pone.0023494,21887259,2008-07-10,2008-06-01,2009-08-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00716833,No effect of the cyclooxygenase-2 inhibitor etoricoxib on pre-emptive and post-operative analgesia in visceral surgery: results of a randomized controlled trial,10.1002/ejp.699,25828692,2008-07-15,2006-02-01,2011-12-01,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00729703,Reduced risk for inappropriate implantable cardioverter-defibrillator shocks with dual-chamber therapy compared with single-chamber therapy: results of the randomized OPTION study,10.1016/j.jchf.2014.05.015,25282033,2008-08-04,2006-06-01,2013-10-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00730548,A randomized study of remote monitoring and fluid monitoring for the management of patients with implanted cardiac arrhythmia devices,10.1093/europace/euv039,25983310,2008-06-19,2007-11-01,2013-08-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00732979,Infrahepatic inferior vena cava clamping for reduction of central venous pressure and blood loss during hepatic resection: a randomized controlled trial,10.1097/sla.0b013e318214bee5,21412143,2008-08-07,2008-03-01,2011-12-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00745745,Safety of mid-septal electrode placement in implantable cardioverter defibrillator recipients--results of the SPICE (Septal Positioning of ventricular ICD Electrodes) study,10.1016/j.ijcard.2014.04.229,24838056,2008-09-02,2008-08-01,2013-01-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00747487,A randomized placebo-controlled trial of idebenone in Leber's hereditary optic neuropathy,10.1093/brain/awr170,21788663,2008-09-04,2007-11-01,2010-02-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00757159,Clinical outcomes after treatment of periodontal intrabony defects with nanocrystalline hydroxyapatite (Ostim) or enamel matrix derivatives (Emdogain): a randomized controlled clinical trial,10.1155/2014/786353,24689056,2008-09-22,2008-08-01,2012-01-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00758277,Efficacy and safety of levetiracetam for the prevention of alcohol relapse in recently detoxified alcohol-dependent patients: a randomized trial,10.1097/jcp.0b013e31825e213e,22722516,2008-09-23,2007-05-01,2009-12-01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00763659,Macular xanthophylls and ω-3 long-chain polyunsaturated fatty acids in age-related macular degeneration: a randomized trial,10.1001/jamaophthalmol.2013.2851,23519529,2008-09-30,2008-05-01,2011-09-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00764933,Does an additional structured information program during the intensive care unit stay reduce anxiety in ICU patients?: a multicenter randomized controlled trial,10.1186/1471-2253-14-48,25071414,2008-10-01,2008-01-01,2010-03-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00769561,Biofeedback-based cognitive-behavioral treatment compared with occlusal splint for temporomandibular disorder: a randomized controlled trial,10.1097/ajp.0b013e3182850559,23446073,2008-10-08,2008-08-01,2011-04-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00783120,"Left prefrontal high-frequency repetitive transcranial magnetic stimulation for the treatment of schizophrenia with predominant negative symptoms: a sham-controlled, randomized multicenter trial",10.1016/j.biopsych.2014.10.009,25582269,2008-10-30,2008-01-01,2011-12-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00783159,Effects of strength training versus power training on physical performance in prefrail community-dwelling older adults,10.1159/000332207,22056537,2008-10-30,2008-06-01,2010-05-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00785330,"Rituximab after lymphoma-directed conditioning and allogeneic stem-cell transplantation for relapsed and refractory aggressive non-Hodgkin lymphoma (DSHNHL R3): an open-label, randomised, phase 2 trial",10.1016/s1470-2045(14)70161-5,24827808,2005-09-13,2004-04-01,2011-04-01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00786994,"Lack of activity of betulin-based Oleogel-S10 in the treatment of actinic keratoses: a randomized, multicentre, placebo-controlled double-blind phase II trial",10.1111/bjd.13342,25124939,2008-11-05,2008-10-01,2010-11-01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00791141,Feasibility of 6-month maintenance cetuximab after adjuvant concurrent chemoradiation plus cetuximab in squamous cell carcinoma of the head and neck,10.1007/s00066-013-0378-2,23824104,2008-11-13,2008-08-01,2013-09-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00802906,Subthreshold diode laser micropulse photocoagulation versus intravitreal injections of bevacizumab in the treatment of central serous chorioretinopathy,10.1038/eye.2011.282,22079961,2008-12-04,2007-05-01,2010-12-01,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCT00803309,"Treatment Extension of Pegylated Interferon Alpha and Ribavirin Does Not Improve SVR in Patients with Genotypes 2/3 without Rapid Virological Response (OPTEX Trial): A Prospective, Randomized, Two-Arm, Multicentre Phase IV Clinical Trial",10.1371/journal.pone.0128069,26057627,2008-12-04,2008-11-01,2013-08-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCT00804102,Phosphene thresholds elicited by transcorneal electrical stimulation in healthy subjects and patients with retinal diseases,10.1167/iovs.12-9612,23049087,2008-12-05,2008-01-01,2011-04-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
