id	pub_title.x	doi.x	pmid.x	registration_date	start_date	completion_date	has_iv_trn_abstract	has_iv_trn_ft	has_reg_pub_link	reg_1y_after_start.x	reg_after_cd.x	reg_after_pub.x	has_crossreg_eudract	has_crossreg_isrctn	ab_addressed	ab_justified	ab_wording	ft_addressed	ft_justified	ft_wording	trn_reported	trn_location	reg_reported	reg_location	reg_wording	comment
NCT00180089	Randomised, double-blind, placebo-controlled trial of oral budesonide for prophylaxis of acute intestinal graft-versus-host disease after allogeneic stem cell transplantation (PROGAST)	10.1186/s12876-014-0197-7	25425214	2005-09-09	2004-01-01	2010-01-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	The trial was registered at https://clinicaltrials.gov, number NCT00180089.	NA
NCT00180102	High-dose cytarabine consolidation with or without additional amsacrine and mitoxantrone in acute myeloid leukemia: results of the prospective randomized AML2003 trial	10.1200/jco.2012.46.4743	23630210	2005-09-12	2003-12-01	2009-11-01	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	Trial registration: ClinicalTrials.gov NCT00180102.	NA
NCT00182819	Temozolomide chemotherapy versus radiotherapy in high-risk low-grade glioma (EORTC 22033-26033): a randomised, open-label, phase 3 intergroup study	10.1016/s1470-2045(16)30313-8	27686946	2005-09-15	2005-07-01	2014-05-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00185159	Determinants of urinary albumin excretion within the normal range in patients with type 2 diabetes: the Randomised Olmesartan and Diabetes Microalbuminuria Prevention (ROADMAP) study	10.1007/s00125-009-1577-3	19876613	2005-09-12	2004-10-01	2009-07-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00199082	Improved outcome of adult Burkitt lymphoma/leukemia with rituximab and chemotherapy: report of a large prospective multicenter trial	10.1182/blood-2014-03-563627	25359988	2005-09-12	2002-07-01	2010-06-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	This trial was registered at www.clinicaltrials.gov as #NCT00199082.	NA
NCT00202917	Haploidentical allogeneic hematopoietic cell transplantation in adults using CD3/CD19 depletion and reduced intensity conditioning: a phase II study	10.3324/haematol.2011.059378	22491731	2005-09-12	2004-02-01	2010-12-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	(clinicaltrials.gov identifier:NCT00202917).	NA
NCT00211237	Balloon kyphoplasty versus non-surgical fracture management for treatment of painful vertebral body compression fractures in patients with cancer: a multicentre, randomised controlled trial	10.1016/s1470-2045(11)70008-0	21333599	2005-09-13	2005-05-01	2009-12-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00222222	Alterations of leptin in the course of inflammation and severe sepsis	10.1186/1471-2334-12-217	22973876	2005-09-13	2003-03-01	2011-12-01	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	Trial registration: ClinicalTrials.gov NCT00222222.	NA
NCT00224770	Safety and efficacy of minimally invasive surgery plus alteplase in intracerebral haemorrhage evacuation (MISTIE): a randomised, controlled, open-label, phase 2 trial	10.1016/s1474-4422(16)30234-4	27751554	2005-09-21	2005-08-01	2013-04-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00232830	Sirolimus-eluting versus uncoated stents in acute myocardial infarction	10.1056/nejmoa062006	16971716	2005-10-04	2003-10-01	2009-04-01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	(ClinicalTrials.gov number, NCT00232830 [ClinicalTrials.gov].).	NA
NCT00251251	Cardiac-resynchronization therapy for mild-to-moderate heart failure	10.1056/nejmoa1009540	21073365	2005-11-08	2003-04-01	2011-05-01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	(Funded by the Canadian Institutes of Health Research and Medtronic of Canada; ClinicalTrials.gov number, NCT00251251.).	NA
NCT00255112	Disorder-specific cognitive-behavioral therapy for separation anxiety disorder in young children: a randomized waiting-list-controlled trial	10.1159/000323444	21494062	2005-11-16	2004-06-01	NA	FALSE	FALSE	TRUE	TRUE	NA	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	additional	1	additional	Trial registration: ClinicalTrials.gov NCT00255112.	NA
NCT00256152	Subclinical atrial fibrillation and the risk of stroke	10.1056/nejmoa1105575	22236222	2005-09-10	2004-09-01	2010-06-01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	(Funded by St. Jude Medical; ASSERT ClinicalTrials.gov number, NCT00256152.).	NA
NCT00263419	Sustained effects of a mindfulness-based stress-reduction intervention in type 2 diabetic patients: design and first results of a randomized controlled trial (the Heidelberger Diabetes and Stress-study)	10.2337/dc11-1343	22338101	2005-12-07	2005-01-01	2012-06-01	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00272948	Defibrotide for prophylaxis of hepatic veno-occlusive disease in paediatric haemopoietic stem-cell transplantation: an open-label, phase 3, randomised controlled trial	10.1016/s0140-6736(11)61938-7	22364685	2006-01-04	2005-12-01	2009-07-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00282646	Intraarterial administration of bone marrow mononuclear cells in patients with critical limb ischemia: a randomized-start, placebo-controlled pilot trial (PROVASA)	10.1161/circinterventions.110.958348	21205939	2006-01-25	2005-10-01	2011-03-01	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00284713	Micro-RNA-34a contributes to the impaired function of bone marrow-derived mononuclear cells from patients with cardiovascular disease	10.1016/j.jacc.2012.02.033	22651868	2006-01-31	2004-05-01	2009-01-01	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	Trial registration: ClinicalTrials.gov NCT00284713 NCT00962364.	NA
NCT00303810	Treatment of children with central nervous system primitive neuroectodermal tumors/pinealoblastomas in the prospective multicentric trial HIT 2000 using hyperfractionated radiation therapy followed by maintenance chemotherapy	10.1016/j.ijrobp.2014.04.017	24969797	2006-03-15	2001-01-01	NA	FALSE	TRUE	TRUE	TRUE	NA	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	The prospective phase 2 P-HIT 2000-AB4 study (US National Cancer Institute Registry no. NCT00303810) 	NA
NCT00312845	Bortezomib plus rituximab versus rituximab alone in patients with relapsed, rituximab-naive or rituximab-sensitive, follicular lymphoma: a randomised phase 3 trial	10.1016/s1470-2045(11)70150-4	21724462	2006-04-07	2006-03-01	2010-07-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00319020	FUTURE-2: Results from an open-label, long-term safety and tolerability extension study using the pediatric FormUlation of bosenTan in pUlmonary arterial hypeRtEnsion	10.1016/j.ijcard.2015.08.080	26386921	2006-04-26	2005-08-23	2011-10-28	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00319046	Evaluation of miglustat as maintenance therapy after enzyme therapy in adults with stable type 1 Gaucher disease: a prospective, open-label non-inferiority study	10.1186/1750-1172-7-102	23270487	2006-04-26	2006-02-01	2010-07-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00324311	A novel rapid and selective enzymatic debridement agent for burn wound management: a multi-center RCT	10.1016/j.burns.2013.08.013	24074719	2006-05-10	2005-12-01	2010-02-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00326066	Fluorophotometric study of the effect of the glaukos trabecular microbypass stent on aqueous humor dynamics	10.1167/iovs.09-3972	20207977	2006-05-12	2005-02-01	2013-05-01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	(ClinicalTrials.gov number, NCT00326066.).	NA
NCT00334594	Neoadjuvant chemotherapy and extrapleural pneumonectomy of malignant pleural mesothelioma with or without hemithoracic radiotherapy (SAKK 17/04): a randomised, international, multicentre phase 2 trial	10.1016/s1470-2045(15)00208-9	26538423	2006-06-07	2005-11-14	2018-01-23	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00335543	Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer: results of the first prospective randomized phase II trial	10.1007/s00066-014-0737-7	25252602	2006-06-08	2003-06-01	2009-10-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0	0	NA	0	0	NA	1	abstract	1	abstract	ISRCTN78805636; NCT00335543.	NA
NCT00353496	Lanreotide in metastatic enteropancreatic neuroendocrine tumors	10.1056/nejmoa1316158	25014687	2006-07-17	2006-06-01	2013-04-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00362089	Reduction of the n-6:n-3 long-chain PUFA ratio during pregnancy and lactation on offspring body composition: follow-up results from a randomized controlled trial up to 5 y of age	10.3945/ajcn.115.128520	27053380	2006-08-08	2006-06-01	2010-11-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00373451	Abciximab and heparin versus bivalirudin for non-ST-elevation myocardial infarction	10.1056/nejmoa1109596	22077909	2006-09-07	2006-07-01	2011-07-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00374985	Prospective, open, multi-centre phase I/II trial to assess safety and efficacy of neoadjuvant radiochemotherapy with docetaxel and oxaliplatin in patients with adenocarcinoma of the oesophagogastric junction	10.1186/1471-2407-13-75	23394629	2006-09-11	2005-10-01	2013-09-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00389779	Divergent results using clinic and ambulatory blood pressures: report of a darusentan-resistant hypertension trial	10.1161/hypertensionaha.110.156976	20921430	2006-10-17	2006-09-01	2009-08-01	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00391612	Bronchoscopic lung-volume reduction with Exhale airway stents for emphysema (EASE trial): randomised, sham-controlled, multicentre trial	10.1016/s0140-6736(11)61050-7	21907863	2006-10-20	2006-05-01	2013-12-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00392054	Radiofrequency ablation vs antiarrhythmic drugs as first-line treatment of paroxysmal atrial fibrillation (RAAFT-2): a randomized trial	10.1001/jama.2014.467	24549549	2006-10-23	2006-08-01	2012-02-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00392184	Accelerated partial breast irradiation with interstitial implants: risk factors associated with increased local recurrence	10.1016/j.ijrobp.2010.04.032	20675064	2006-10-24	2000-11-01	2010-10-01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	(ClinicalTrials.gov identifier: NCT00392184)	NA
NCT00395252	Multicenter phase II trial to investigate safety and efficacy of gemcitabine combined with cetuximab as adjuvant therapy in pancreatic cancer (ATIP)	10.1093/annonc/mdt270	23897705	2006-11-01	2006-10-01	2012-01-01	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00402675	Optimal timing of invasive angiography in stable non-ST-elevation myocardial infarction: the Leipzig Immediate versus early and late PercutaneouS coronary Intervention triAl in NSTEMI (LIPSIA-NSTEMI Trial)	10.1093/eurheartj/ehr418	22108830	2006-11-20	2006-07-01	2010-01-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00404092	Phase II dose escalation study of caspofungin for invasive Aspergillosis	10.1128/aac.05134-11	21911573	2006-11-24	2006-10-01	2009-10-01	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00404144	Treatment of small coronary arteries with a paclitaxel-coated balloon catheter	10.1007/s00392-009-0101-6	20052480	2006-11-24	2006-01-01	2012-09-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00410631	Treatment and outcome of Ganglioneuroma and Ganglioneuroblastoma intermixed	10.1186/s12885-016-2513-9	27465021	2006-12-11	2004-10-01	NA	TRUE	FALSE	TRUE	TRUE	NA	FALSE	FALSE	FALSE	1	0	Trial registration: ClinicalTrials.gov identifiers - NB97 (NCT00017225; registered June 6, 2001); NB2004 (NCT00410631; registered December 11, 2006).	0	0	NA	1	abstract	1	abstract	Trial registration: ClinicalTrials.gov identifiers - NB97 (NCT00017225; registered June 6, 2001); NB2004 (NCT00410631; registered December 11, 2006).	secondary analysis of ct data
NCT00413036	An international phase II trial of single-agent lenalidomide for relapsed or refractory aggressive B-cell non-Hodgkin's lymphoma	10.1093/annonc/mdq626	21228334	2006-12-18	2006-06-01	2011-05-01	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00418574	Abagovomab as maintenance therapy in patients with epithelial ovarian cancer: a phase III trial of the AGO OVAR, COGI, GINECO, and GEICO--the MIMOSA study	10.1200/jco.2012.46.4057	23478059	2007-01-04	2006-12-01	2011-06-01	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00419250	Final results of a multicenter phase 1 study of lenalidomide in patients with relapsed or refractory chronic lymphocytic leukemia	10.3109/10428194.2011.618232	21879809	2007-01-05	2006-12-01	2010-06-01	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00419601	Remifentanil/midazolam versus fentanyl/midazolam for analgesia and sedation of mechanically ventilated neonates and young infants: a randomized controlled trial	10.1007/s00134-012-2532-1	22456770	2007-01-05	2006-11-01	2010-04-01	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00423124	Infusion of suicide-gene-engineered donor lymphocytes after family haploidentical haemopoietic stem-cell transplantation for leukaemia (the TK007 trial): a non-randomised phase I-II study	10.1016/s1470-2045(09)70074-9	19345145	2007-01-16	2002-07-01	2013-11-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	This trial is registered with ClinicalTrials.gov, number NCT00423124.	NA
NCT00430118	Low platelet counts after induction therapy for childhood acute lymphoblastic leukemia are strongly associated with poor early response to treatment as measured by minimal residual disease and are prognostic for treatment outcome	10.3324/haematol.2011.045229	22058224	2007-01-30	2000-07-01	2012-01-01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	abstract	1	abstract	registered at: ClinicalTrials.gov: NCT00430118. National Cancer Institute: Protocol ID 68529).	NA
NCT00437385	Cognitive-behavioral therapy as continuation treatment to sustain response after electroconvulsive therapy in depression: a randomized controlled trial	10.1016/j.biopsych.2013.11.030	24462229	2007-02-20	2005-03-01	2011-03-01	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	NA	0	0	NA	1	acknowledgments	1	acknowledgments	Trial registration: ClinicalTrials.gov NCT00437385.	NA
NCT00438451	A randomized, double-blind comparison of antiepileptic drug treatment in the elderly with new-onset focal epilepsy	10.1111/epi.12926	25684224	2007-02-21	2007-01-01	2011-08-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00440167	Gemcitabine plus erlotinib followed by capecitabine versus capecitabine plus erlotinib followed by gemcitabine in advanced pancreatic cancer: final results of a randomised phase 3 trial of the 'Arbeitsgemeinschaft Internistische Onkologie' (AIO-PK0104)	10.1136/gutjnl-2012-302759	22773551	2007-02-22	2006-06-01	2012-12-01	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCT00447304	Acute cholecystitis: early versus delayed cholecystectomy, a multicenter randomized trial (ACDC study, NCT00447304)	10.1097/sla.0b013e3182a1599b	24022431	2007-03-13	2006-10-01	2010-12-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
