pmid,ft_wording
27861546,It did not fall under the regulations of either the legal requirements for testing medical devices nor under the legal requirements for testing medications and thus a registration in a clinical trials registry was not mandatory prior to recruitment of patients (S1 Checklist). Due to this reason and because of funding issues the study was launched as early as possible. After translation of the CRF and all protocols into English (S1ðandðS2Protocols) it was registered belated at ClinicalTrials.gov (NCT02670265). Currently there are no ongoing and related trials for this intervention study.
29077724,"Due to organisational changes in the research project shortly before the start of the recruitment we put great efforts into avoiding a delayed start of the data collection in the cooperating inpatient units, which resulted in retrospective study registration and a delayed publication of our study protocol. The authors confirm that all ongoing and related trials for this intervention are registered."
26735993,"The study started recruitment in October 2006. At the time, there was confusion among European investigators regarding the need to register the trial before initiation of enrollment; the trial was registered in May 2008."
29258499,"Given the amount of paperwork, approvalsð and signatures that were needed from university administration, hospital management, faculty members, or participating team members through the different stages of the study, following a strict time plan was not always possible. Consequently, the delays in all study phases led to a 2-week overlap of the study period with the month of Ramadan, which forced us to start our final interviews 2ðweeks ahead of schedule. Though this might not have had a noticeable impact on our results, it could still be seen as a limitation of our study.ð"
30026282,"This trial is registered withÊhttp://www.ClinicalTrials.govÊ(NCT01890317). The time of first registration was June 17, 2013, and final approved trial registration was July 1, 2013. First patient inclusion was in July 2012Êat the Heart Center LeipzigÐUniversity Hospital, Leipzig, Germany. Thus, there was a delay between first patient inclusion and trial registration that was the result of a misunderstanding betweenÊthe principalÊinvestigator of the trial, Dr Thiele, and the first author, Dr Fuernau, who was responsibleÊfor clinical project coordination at the investigatorÕs site at the Heart Center LeipzigÐUniversity of Leipzig. According to initial communication, registration had to be performed by Dr Fuernau. When the study principal investigator recognized that it had not been performed, we immediately registered the trial atÊhttp://www.ClinicalTrials.gov. At this time, only 7 patients at the Heart Center LeipzigÐUniversity Hospital had been included in the trial."
23730377,"It was not registered at a clinical trial register, because at the time of setup in 2003, such a registration was not obligatory."
26501562,The study was registered online at ClinicalTrials.gov (ID:ðNCT02253563). Registration of the trial was delayed after the enrollment of the first patient due to an administrative error. The authors confirm that all ongoing and related trials for this intervention are registered.
29083953,"The trial was registered at ClinicalTrials.gov 4 months after enrollment of the first patient, as discussed in theÊSupplementary Appendix /É/ Thus, there was a delay of trial registration before first patient inclusion which was induced by a misunderstanding between the project coordination for the EU grant (at this time gabo:mi, later on ARTTIC) and the clinical project coordination at the investigator's site at the Heart Center Leipzig - University of Leipzig. According to initial communication registration should be performed by gabo:mi. When the study coordinator recognized that it has not been performed we immediately registered it at clinicaltrials.gov. At this time only 13 patients at the Heart Center Leipzig Ð University Hospital (and no other study site) have been included into the trial."
27485732,Registration was done after the study has been conducted and the results suggested a publication and further continuation of this research. The authors confirm that all ongoing and related trials for this drug/intervention are registered.ð
26932256,"To meet the requirements of the International Committee of Medical Journal Editors (ICMJE), this study was registered at the German Clinical Trials Register (DRKS): ðAdjuvant Antifungal Therapy Using TTP on Oral Mucosa and Removable Dentures in Oral Candidiasis Patients: A Double-Blinded Split-Mouth Pilot Studyð (DRKS00009368).ð"
28601915,"To meet the requirements of the International Committee of Medical Journal Editors (ICMJE), the present study was registered at the German Clinical Trials Register (DRKS): DRKS00009391. All patients gave informed consent in writing before inclusion."
28585450,"To meet the requirements of the International Committee of Medical Journal Editors (ICMJE), the study was registered at the German Clinical Trials Register (DRKS): DRKS00009539.ð"
32142529,"It was registered at the German Clinical Trials Register (DRKS00008023) and no changes to the methods or the design of the study occurred after registration. Registration of the study was applied for in April 2015. All queries from the DRKS were answered until the 31stðAugust 2015 except the planned inclusion date of the first patient (first-patient-in), which was correct in the DRKS registry on 1stðDecember 2015. Confirmation of registration occurred on 4thðDecember 2015. The first patient was recruited and randomized into the study on 20thðOctober 2015. Until 4thðDecember 2015 eight patients were randomized into the trial. The authors confirm that all ongoing and related trials for this drug/intervention are registered."
