id	pub_title.x	doi.x	pmid.x	registration_date	start_date	completion_date	has_iv_trn_abstract	has_iv_trn_ft	has_reg_pub_link	reg_1y_after_start.x	reg_after_cd.x	reg_after_pub.x	has_crossreg_eudract	has_crossreg_isrctn	trn_reported	trn_location	reg_reported	reg_location	reg_wording	ab_addressed	ab_justified	ab_date	ab_wording	ft_addressed	ft_justified	ft_date	ft_wording	rr_addressed_total	rr_justified_total	rr_date_total	comment	exclude	pub_eudra_nr
DRKS00008548	Predictors of medication adherence among patients with severe psychiatric disorders: findings from the baseline assessment of a randomized controlled trial (Tecla)	10.1186/s12888-018-1737-4	29843676	21.05.15	30.01.15	2017-07-21	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðThis study is retrospectively registered at the German Clinical Trials Register with the trial registration number DRKS00008548 at 21/05/2015.	1	0	1	Trial registration:ðThis study is retrospectively registered at the German Clinical Trials Register with the trial registration number DRKS00008548 at 21/05/2015.	1	0	1	Tecla is retrospectively registered at 2015\05\21 at the German Clinical Trials Register (DRKS00008548)	1	0	1	NA	0	
DRKS00012382	Does dual task training improve walking performance of older adults with concern of falling?	10.1186/s12877-017-0610-5	28893187	11.05.17	01.04.15	2016-07-15	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	"Trial registration:ðThe study was retrospectively registered in the German Clinical Trials Register (DRKS; Identification number DRKS00012382 , 11.05.2017)."	1	0	1	"Trial registration:ðThe study was retrospectively registered in the German Clinical Trials Register (DRKS; Identification number DRKS00012382 , 11.05.2017)."	1	0	1	"The study was retrospectively registered in the German Clinical Trials Registerð(DRKS;ðIdentification number DRKS00012382, 11.05.2017)"	1	0	1	NA	0	
DRKS00011853	Trainer in a pocket - proof-of-concept of mobile, real-time, foot kinematics feedback for gait pattern normalization in individuals after stroke, incomplete spinal cord injury and elderly patients	10.1186/s12984-018-0389-4	29843763	23.03.17	20.07.15	2016-11-30	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðDRKS00011853 , retrospectively registered on 2017/03/23.	1	0	1	Trial registration:ðDRKS00011853 , retrospectively registered on 2017/03/23.	1	0	1	DRKS00011853, retrospectively registered on 2017/03/23.	1	0	1	NA	0	
NCT01686893	Efficacy and safety of nasal high-flow oxygen in COPD patients	10.1186/s12890-017-0486-3	29149867	13.09.12	01.02.09	2013-03-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	ClinicalTrials.govðNCT01686893ð13.09.2012 retrospectively registered (STIT-1) andðNCT01693146ð14.09.2012 retrospectively registered (STIT-2).	1	0	1	ClinicalTrials.govðNCT01686893ð13.09.2012 retrospectively registered (STIT-1) andðNCT01693146ð14.09.2012 retrospectively registered (STIT-2).	0	0	0	NA	1	0	1	NA	0	
DRKS00000492	Effect of individualized communication skills training on physicians' discussion of clinical trials in oncology: results from a randomized controlled trial	10.1186/s12885-017-3238-0	28403837	22.07.10	30.08.07	2010-05-31	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	The study was registered retrospectively in 2010/07/22 under DRKS-ID: DRKS00000492 .	1	0	1	The study was registered retrospectively in 2010/07/22 under DRKS-ID: DRKS00000492 .	0	0	0	NA	1	0	1	NA	0	
NCT02990039	Do sociodemographic variables and cardiometabolic risk factors moderate the mere-measurement effect on physical activity and sedentary time?	10.1186/s12872-020-01551-9	32503441	15.11.16	01.02.15	2016-09-01	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðClinicalTrials.govNCT02990039. Registered 7 December 2016. Retrospectively registered.	1	0	1	Trial registration:ðClinicalTrials.govNCT02990039. Registered 7 December 2016. Retrospectively registered.	0	0	0	NA	1	0	1	NA	0	
NCT03860129	Use of MIRUSª for MAC-driven application of isoflurane, sevoflurane, and desflurane in postoperative ICU patients: a randomized controlled trial	10.1186/s13613-019-0594-8	31620921	24.09.18	10.12.14	2017-05-31	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration Clinical Trials Registry (ref.:ðNCT03860129). Registered 24 September 2018-Retrospectively registered.	1	0	1	Trial registration Clinical Trials Registry (ref.:ðNCT03860129). Registered 24 September 2018-Retrospectively registered.	0	0	0	NA	1	0	1	NA	0	
NCT03524755	Progressive resistance training in cachectic head and neck cancer patients undergoing radiotherapy: a randomized controlled pilot feasibility trial	10.1186/s13014-018-1157-0	30400971	29.04.18	10.07.13	2015-05-07	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðClinicalTrials.gov,ðNCT03524755ð. Registered 15 May 2018 - Retrospectively registered.	1	0	1	Trial registration:ðClinicalTrials.gov,ðNCT03524755ð. Registered 15 May 2018 - Retrospectively registered.	0	0	0	NA	1	0	1	NA	0	
NCT03272490	Polyaxial locking plates in treating distal humeral fractures: a comparative randomized trial for clinical outcome	10.1186/s12891-017-1910-9	29282027	31.08.17	05.02.14	2017-07-01	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðhttps://clinicaltrials.gov/ct2/show/NCT03272490 Retrospectively Registered 1. September 2017.	1	0	1	Trial registration:ðhttps://clinicaltrials.gov/ct2/show/NCT03272490 Retrospectively Registered 1. September 2017.	0	0	0	NA	1	0	1	NA	0	
NCT02990208	Diaphragmatic breathing during virtual reality exposure therapy for aviophobia: functional coping strategy or avoidance behavior? a pilot study	10.1186/s12888-016-1181-2	28100203	05.12.16	01.01.14	2015-10-01	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðRetrospectively registered. ClinicalTrials.govðNCT02990208ð. Registered 07 December 2016.	1	0	1	Trial registration:ðRetrospectively registered. ClinicalTrials.govðNCT02990208ð. Registered 07 December 2016.	0	0	0	NA	1	0	1	NA	0	
DRKS00003574	Is employment-focused case management effective for patients with substance use disorders? Results from a controlled multi-site trial in Germany covering a 2-years-period after inpatient rehabilitation	10.1186/s12888-016-0990-7	27496255	12.03.12	17.10.11	2014-09-30	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	"Trial registration:ðIdentifier: DRKS00003574 ; March 12, 2012. The trial was retrospectively registered."	1	0	1	"Trial registration:ðIdentifier: DRKS00003574 ; March 12, 2012. The trial was retrospectively registered."	0	0	0	NA	1	0	1	NA	0	
DRKS00013627	Feasibility, acceptability and adaption of dignity therapy: a mixed methods study achieving 360¡ feedback	10.1186/s12904-018-0326-0	29747631	22.12.17	01.06.15	2016-04-30	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðThe study was registered retrospectively on the 22nd of December 2017 at the German Clinical Trials Register ( DRKS00013627 ).	1	0	1	Trial registration: The study was registered retrospectively on the 22nd of December 2017 at the German Clinical Trials Register ( DRKS00013627 ).	0	0	0	NA	1	0	1	NA	0	
DRKS00013233	Sequential activation of the AKT pathway in human osteoblasts treated with Oscarvit: a bioactive product with positive effect both on skeletal pain and mineralization in osteoblasts	10.1186/s12891-017-1860-2	29183350	06.11.17	01.10.14	2015-04-01	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðDRKS00013233 , 06th November 2017, retrospectively registered.	1	0	1	Trial registration:ðDRKS00013233 , 06th November 2017, retrospectively registered.	0	0	0	NA	1	0	1	NA	0	
NCT02280226	Cardiovascular magnetic resonance assessment of acute cardiovascular effects of voluntary apnoea in elite divers	10.1186/s12968-018-0455-x	29909774	29.10.14	01.04.14	2016-07-01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	It was retrospectively registered under ClinicalTrials.gov (Trial registration:ÊNCT02280226Ê. Registered 29 October 2014).	1	0	1	It was retrospectively registered under ClinicalTrials.gov (Trial registration:ÊNCT02280226Ê. Registered 29 October 2014).	0	0	0	NA	1	0	1	NA	0	
NCT02026492	Predictors and reproducibility of exercise-induced bronchoconstriction in cold air	10.1186/s12890-019-0845-3	31097027	19.12.13	01.06.13	2014-07-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Clinical trial registration:ÊNCT02026492Ê(retrospectively registered 03/Jan/2014).	1	0	1	Clinical trial registration:ÊNCT02026492Ê(retrospectively registered 03/Jan/2014).	0	0	0	NA	1	0	1	NA	0	
NCT01731717	Cost-effectiveness of guideline-based stepped and collaborative care versus treatment as usual for patients with depression - a cluster-randomized trial	10.1186/s12888-020-02829-0	32859177	12.11.12	01.09.12	2015-05-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ÊNCT,ÊNCT01731717Ê. Registered 22 November 2012 - Retrospectively registered.	1	0	1	Trial registration:ÊNCT,ÊNCT01731717Ê. Registered 22 November 2012 - Retrospectively registered.	0	0	0	NA	1	0	1	NA	0	
NCT03378804	Programmed intermittent epidural bolus versus continuous epidural infusion for postoperative analgesia after major abdominal and gynecological cancer surgery: a randomized, triple-blinded clinical trial	10.1186/s12871-018-0613-6	30376810	06.10.17	01.01.17	2017-11-02	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ÊThis study has been registered retrospectively in the ClinicalTrials.gov registry (ÊNCT03378804Ê), date of registration: December, 20th 2017.	1	0	1	Trial registration:ÊThis study has been registered retrospectively in the ClinicalTrials.gov registry (ÊNCT03378804Ê), date of registration: December, 20th 2017.	0	0	0	NA	1	0	1	NA	0	
NCT02365350	Randomized, open trial comparing a modified double-lumen needle follicular flushing system with a single-lumen aspiration needle in IVF patients with poor ovarian response	10.1093/humrep/dex019	28333185	06.02.15	01.01.15	2016-08-01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration number:ÊNCT 02365350Ê(clinicaltrials.gov). Trial registration date:ÊSixth of February 2015. Date of first patient's enrolment:ÊNinth of February 2015.	0	0	1	Trial registration number:ÊNCT 02365350Ê(clinicaltrials.gov). Trial registration date:ÊSixth of February 2015. Date of first patient's enrolment:ÊNinth of February 2015.	0	0	0	prospectively registered (NCT 02365350	0	0	1	prospective?	0	
NCT01673776	Perioperative multi-system optimization protocol in elderly hip fracture patients: a randomized-controlled trial	10.1007/s12630-019-01475-9	31531828	20.08.12	01.03.12	2016-10-15	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Clinicaltrials.gov (NCT01673776). Registered 23 August, 2012.	0	0	1	Clinicaltrials.gov (NCT01673776). Registered 23 August, 2012.	0	0	1	"registered at clinicaltrials.gov (Identifier: NCT01673776; registered on 23 August 2012). There was one amendment to the methods, which became effective before the first patient was included (and before the trial was registered). We performed this prospective, randomized, single-centre study at a university hospital in Munich, Germany"	0	0	1	prospective?	0	
NCT02997137	Impact of a Specific Amino Acid Composition with Micronutrients on Well-Being in Subjects with Chronic Psychological Stress and Exhaustion Conditions: A Pilot Study	10.3390/nu10050551	29710825	15.12.16	01.10.14	2016-02-01	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	1	methods	1	methods	In December 2016, this study was retrospectively registered with the U.S. National Institutes of Health Clinical Trials.gov (NCT02997137).	0	0	0	NA	1	0	1	In December 2016, this study was retrospectively registered with the U.S. National Institutes of Health Clinical Trials.gov (NCT02997137).	1	0	1	NA	0	
NCT01280877	Alternating Current Stimulation for Vision Restoration after Optic Nerve Damage: A Randomized Clinical Trial	10.1371/journal.pone.0156134	27355577	19.01.11	01.12.10	2012-02-01	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	ClinicalTrials.govÊNCT01280877	0	0	0	NA	1	0	1	The study was conducted according to the Declaration of Helsinki and registered at ClinicalTrials.gov (NCT01280877). The trial was registered in January 2011 upon receiving approval from the leading ethics committee in December 2010. The date range for patient recruitment and follow-up was from December 2010 until February 2012. The authors confirm that all ongoing and related trials for this intervention are registered.	1	0	1	date of reg in same sentence as start date counted as transparent reporting	0	
NCT02868320	SMS education for the promotion of diabetes self-management in low & middle income countries: a pilot randomized controlled trial in Egypt	10.1186/s12889-017-4973-5	29258499	09.08.16	01.04.14	2015-07-01	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðClinicalTrials.govðNCT02868320ð. Registered 9 August 2016. Retrospectively registered.	1	0	1	Trial registration:ðClinicalTrials.govðNCT02868320ð. Registered 9 August 2016. Retrospectively registered.	0	1	1	Given the amount of paperwork, approvalsð and signatures that were needed from university administration, hospital management, faculty members, or participating team members through the different stages of the study, following a strict time plan was not always possible. Consequently, the delays in all study phases led to a 2-week overlap of the study period with the month of Ramadan, which forced us to start our final interviews 2ðweeks ahead of schedule. Though this might not have had a noticeable impact on our results, it could still be seen as a limitation of our study.ð	1	1	1	interesting case, they discuss deviations from schedule generally, not directly for registration	0	
NCT01182428	A randomized multicenter trial comparing the XIENCE everolimus eluting stent with the CYPHER sirolimus eluting stent in the treatment of female patients with de novo coronary artery lesions: The SPIRIT WOMEN study	10.1371/journal.pone.0182632	28796809	13.07.10	01.09.08	2011-07-01	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðClinicalTrials.govðNCT01182428. https://clinicaltrials.gov/.	0	0	0	NA	0	0	1	The trial was conceived as a substudy of the main SPIRIT Women study that was registered in 2007 (NCT00496938). Subsequent changes in the original protocol were made and the randomized study was registered a separate one in 2010 (NCT01182428).	0	0	1	interesting case, they had a protocol, made a new protocol (retrospectively) for substudy	0	
NCT02153372	Safety and feasibility of cell-based therapy of autologous bone marrow-derived mononuclear cells in plate-stabilized proximal humeral fractures in humans	10.1186/s12967-016-1066-7	27846890	13.02.14	01.07.13	2014-09-01	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration The study was registered in the European Clinical Trial Register as EudraCT No. 2012-004037-17. Date of registration 30th of August 2012.	0	0	1	Trial registration The study was registered in the European Clinical Trial Register as EudraCT No. 2012-004037-17. Date of registration 30th of August 2012.	0	0		NA	0	0	1	prospective in Eudra	0	2012-004037-17
NCT01540877	Ipsilateral and contralateral sensory changes in healthy subjects after experimentally induced concomitant sensitization and hypoesthesia	10.1186/s12883-017-0839-9	28335745	23.02.12	01.04.11	NA	TRUE	TRUE	TRUE	FALSE	NA	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðClinicalTrials.gov IdentifierðNCT01540877ð, registered on 23 February 2012.	0	0	1	Trial registration:ðClinicalTrials.gov IdentifierðNCT01540877ð, registered on 23 February 2012.	0	0	1	trial registration number: ClinicalTrials.gov IdentifierðNCT01540877, registered on 23 February 2012)	0	0	1	NA	0	
DRKS00004327	Remifentanil added to sufentanil-sevoflurane anesthesia suppresses hemodynamic and metabolic stress responses to intense surgical stimuli more effectively than high-dose sufentanil-sevoflurane alone	10.1186/1471-2253-15-3	25670917	31.08.12	09.06.12	2013-04-12	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Clinical trial number:ðDRKS00004327, August 31, 2012.	0	0	1	Clinical trial number:ðDRKS00004327, August 31, 2012.	0	0	1	This prospective, randomized double-blinded study was conducted with the approval of our clinical research ethics committee (Universitðtsmedizin Gðttingen, Ethikkommission 14/2/11, on 29 March 2012). It was registered on August 31, 2012 with the German registry of clinical trials (Deutsches Register fðr klinische Studien (http://drks-neu.uniklinik-freiburg.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00004327) under the trial number DRKS 00004327	0	0	1	NA	0	
DRKS00008668	"Sequential learning of psychomotor and visuospatial skills for laparoscopic suturing and knot tying - study protocol for a randomized controlled trial ""The shoebox study"""	10.1186/s13063-015-1145-8	26739331	12.08.15	21.04.15	2015-08-08	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðThis trial was registered on 12 August 2015 with the trial registration number DRKS00008668 .	0	0	1	Trial registration:ðThis trial was registered on 12 August 2015 with the trial registration number DRKS00008668 .	0	0	1	This trial was registered with the German Clinical Trials Register (DRKS) in Freiburg, Germany on 12 August 2015 with the trial registration number DRKS00008668.	0	0	1	NA	0	
NCT02658370	A prospective pilot study to evaluate an animated home-based physical exercise program as a treatment option for patients with rheumatoid arthritis	10.1186/s12891-016-1208-3	27538847	13.01.16	01.08.11	2014-07-01	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial registration:ðClinicalTrials.gov ID:ðNCT02658370ð(19-Jan-2016).	0	0	1	Trial registration:ðClinicalTrials.gov ID:ðNCT02658370ð(19-Jan-2016).	0	0	0	NA	0	0	1	NA	0	
NCT01859429	Effects of stepped psychooncological care on referral to psychosocial services and emotional well-being in cancer patients: A cluster-randomized phase III trial	10.1002/pon.4492	28665542	17.05.13	01.04.12	2015-03-01	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	1	abstract	1	abstract	Trial Registration:ðwww.clinicaltrials.govðNCT01859429, registration date May 17, 2013.	0	0	1	Trial Registration:ðwww.clinicaltrials.govðNCT01859429, registration date May 17, 2013.	0	0	0	NA	0	0	1	NA	0	
